year,GEOID,NAME,variable,estimate,moe,summary_est,summary_moe
2010,4748000,"Memphis city, Tennessee",B25002_001,293845,3302,293845,3302
2010,4748000,"Memphis city, Tennessee",B25002_002,241400,4203,293845,3302
2010,4748000,"Memphis city, Tennessee",B25002_003,52445,3676,293845,3302
2011,4748000,"Memphis city, Tennessee",B25002_001,294145,3322,294145,3322
2011,4748000,"Memphis city, Tennessee",B25002_002,245836,4445,294145,3322
2011,4748000,"Memphis city, Tennessee",B25002_003,48309,3548,294145,3322
2012,4748000,"Memphis city, Tennessee",B25002_001,296840,3327,296840,3327
2012,4748000,"Memphis city, Tennessee",B25002_002,247478,3642,296840,3327
2012,4748000,"Memphis city, Tennessee",B25002_003,49362,3543,296840,3327
2013,4748000,"Memphis city, Tennessee",B25002_001,297610,2917,297610,2917
2013,4748000,"Memphis city, Tennessee",B25002_002,250302,4332,297610,2917
2013,4748000,"Memphis city, Tennessee",B25002_003,47308,3327,297610,2917
2014,4748000,"Memphis city, Tennessee",B25002_001,300637,3089,300637,3089
2014,4748000,"Memphis city, Tennessee",B25002_002,250553,3753,300637,3089
2014,4748000,"Memphis city, Tennessee",B25002_003,50084,3184,300637,3089
2015,4748000,"Memphis city, Tennessee",B25002_001,299953,3373,299953,3373
2015,4748000,"Memphis city, Tennessee",B25002_002,250324,4428,299953,3373
2015,4748000,"Memphis city, Tennessee",B25002_003,49629,3767,299953,3373
2016,4748000,"Memphis city, Tennessee",B25002_001,303888,3228,303888,3228
2016,4748000,"Memphis city, Tennessee",B25002_002,256973,4572,303888,3228
2016,4748000,"Memphis city, Tennessee",B25002_003,46915,3681,303888,3228
2017,4748000,"Memphis city, Tennessee",B25002_001,298121,3353,298121,3353
2017,4748000,"Memphis city, Tennessee",B25002_002,246518,4056,298121,3353
2017,4748000,"Memphis city, Tennessee",B25002_003,51603,3745,298121,3353
2018,4748000,"Memphis city, Tennessee",B25002_001,300305,3664,300305,3664
2018,4748000,"Memphis city, Tennessee",B25002_002,252517,4720,300305,3664
2018,4748000,"Memphis city, Tennessee",B25002_003,47788,3300,300305,3664
2019,4748000,"Memphis city, Tennessee",B25002_001,301473,4146,301473,4146
2019,4748000,"Memphis city, Tennessee",B25002_002,254423,4870,301473,4146
2019,4748000,"Memphis city, Tennessee",B25002_003,47050,3354,301473,4146
2010,4748000,"Memphis city, Tennessee",B25008_001,627420,4851,627420,4851
2010,4748000,"Memphis city, Tennessee",B25008_002,323576,10850,627420,4851
2010,4748000,"Memphis city, Tennessee",B25008_003,303844,11230,627420,4851
2011,4748000,"Memphis city, Tennessee",B25008_001,636900,2356,636900,2356
2011,4748000,"Memphis city, Tennessee",B25008_002,316296,12656,636900,2356
2011,4748000,"Memphis city, Tennessee",B25008_003,320604,12607,636900,2356
2012,4748000,"Memphis city, Tennessee",B25008_001,640009,2159,640009,2159
2012,4748000,"Memphis city, Tennessee",B25008_002,317419,12517,640009,2159
2012,4748000,"Memphis city, Tennessee",B25008_003,322590,12479,640009,2159
2013,4748000,"Memphis city, Tennessee",B25008_001,638515,2194,638515,2194
2013,4748000,"Memphis city, Tennessee",B25008_002,308165,11108,638515,2194
2013,4748000,"Memphis city, Tennessee",B25008_003,330350,11029,638515,2194
2014,4748000,"Memphis city, Tennessee",B25008_001,641499,2351,641499,2351
2014,4748000,"Memphis city, Tennessee",B25008_002,300285,10979,641499,2351
2014,4748000,"Memphis city, Tennessee",B25008_003,341214,10901,641499,2351
2015,4748000,"Memphis city, Tennessee",B25008_001,639052,2687,639052,2687
2015,4748000,"Memphis city, Tennessee",B25008_002,303844,13653,639052,2687
2015,4748000,"Memphis city, Tennessee",B25008_003,335208,13692,639052,2687
2016,4748000,"Memphis city, Tennessee",B25008_001,636387,2081,636387,2081
2016,4748000,"Memphis city, Tennessee",B25008_002,275938,12063,636387,2081
2016,4748000,"Memphis city, Tennessee",B25008_003,360449,12001,636387,2081
2017,4748000,"Memphis city, Tennessee",B25008_001,637165,2195,637165,2195
2017,4748000,"Memphis city, Tennessee",B25008_002,297860,10466,637165,2195
2017,4748000,"Memphis city, Tennessee",B25008_003,339305,10949,637165,2195
2018,4748000,"Memphis city, Tennessee",B25008_001,635969,2261,635969,2261
2018,4748000,"Memphis city, Tennessee",B25008_002,300609,12650,635969,2261
2018,4748000,"Memphis city, Tennessee",B25008_003,335360,12624,635969,2261
2019,4748000,"Memphis city, Tennessee",B25008_001,636941,2231,636941,2231
2019,4748000,"Memphis city, Tennessee",B25008_002,310064,12946,636941,2231
2019,4748000,"Memphis city, Tennessee",B25008_003,326877,12839,636941,2231
